"name","authority","type","url","priority","source_category","sector","geographic_scope","department","municipality","coverage"
"MinVivienda - Herramientas POT","Ministerio de Vivienda, Ciudad y Territorio","Técnica/Ordenamiento","https://minvivienda.gov.co/viceministerio-de-vivienda/espacio-urbano-y-territorial/plan-ordenamiento-territorial/pot/herramientas-descargables","1","","","Nacional/Municipal","","","Guías, listas de chequeo, anexos y herramientas técnicas POT"
"IGAC - Colombia OT","Instituto Geográfico Agustín Codazzi - IGAC","Ordenamiento territorial","https://www.colombiaot.gov.co/","1","","","Nacional/Municipal","","","POT municipales, cartografía, normatividad y recursos de ordenamiento territorial"
"DNP - Portal Territorial","Departamento Nacional de Planeación - DNP","Planeación territorial/Técnica","https://portalterritorial.dnp.gov.co/Paginas/PT_HerramientasTerritoriales.aspx","1","","","Nacional/Departamental/Municipal","","","Herramientas, metodologías y lineamientos para planes de desarrollo y gestión territorial"
"Parques Nacionales - Planes de Manejo","Parques Nacionales Naturales de Colombia","Planes de manejo","https://www.parquesnacionales.gov.co/entidad/planes-de-manejo-areas-del-spnn/","1","","","Nacional/Regional","","","Planes de manejo de áreas protegidas del Sistema de Parques Nacionales"
"Parques Nacionales - Marco normativo","Parques Nacionales Naturales de Colombia","Normativa/Planes","https://www.parquesnacionales.gov.co/marco-normativo-de-las-areas-protegidas/","1","","","Nacional/Regional","","","Actos administrativos, adopción de planes de manejo y fechas de publicación"
"Parques Nacionales - Lineamientos de ordenamiento","Parques Nacionales Naturales de Colombia","Técnica/Ordenamiento","https://www.parquesnacionales.gov.co/lineamientos-para-integracion-areas-protegidas-al-ordenamiento-territorial/","1","","","Nacional/Departamental/Municipal","","","Guías y lineamientos para integrar áreas protegidas en ordenamiento territorial"
"UNGRD - Plan Nacional de Gestión del Riesgo","Unidad Nacional para la Gestión del Riesgo de Desastres - UNGRD","Plan nacional/Técnica","https://portal.gestiondelriesgo.gov.co/paginas/plan-nacional-gestion-riesgo-de-desastres.aspx","1","","","Nacional/Departamental/Municipal","","","PNGRD, adaptación al cambio climático, seguimiento, anexos y documentos técnicos"
"Gobernación de Antioquia - Plan de Desarrollo","Gobernación de Antioquia","Plan departamental","https://www.antioquia.gov.co/gobernacion/plan-desarrollo-2024-2027","1","","","Departamental","Antioquia","","Plan de Desarrollo Departamental y anexos"
"Gobernación de Antioquia - Ambiente y sostenibilidad","Gobernación de Antioquia","Política/Planes","https://www.antioquia.gov.co/index.php/informacion-de-proyectos-secretaria-de-ambiente-y-sostenibilidad","1","","","Departamental","Antioquia","","PICCA, crecimiento verde, biodiversidad, cambio climático y proyectos ambientales"
"Gobernación de Antioquia - Ordenanzas","Gobernación de Antioquia / Asamblea Departamental","Normativa departamental","https://www.antioquia.gov.co/index.php/component/content/category/normativa/ordenanzas","1","","","Departamental","Antioquia","","Ordenanzas y adopción de políticas y planes departamentales"
"Alcaldía de Medellín - SIGAM y Plan Ambiental","Distrito de Medellín - Secretaría de Medio Ambiente","Política/Plan municipal","https://www.medellin.gov.co/es/secretaria-medio-ambiente/sistema-de-gestion-ambiental-de-medellin/","1","","","Municipal","Antioquia","Medellín","Política Ambiental de Medellín, PAM y SIGAM"
"Alcaldía de Medellín - Planes estratégicos","Distrito de Medellín","Planes municipales","https://www.medellin.gov.co/es/centro-documental/planes-estrategicos-y-misionales-del-distrito-especial-medellin/","1","","","Municipal","Antioquia","Medellín","PGIRS y planes estratégicos/misionales municipales"
"Alcaldía de Medellín - Acción Climática","Distrito de Medellín - Secretaría de Medio Ambiente","Plan climático","https://www.medellin.gov.co/es/secretaria-medio-ambiente/cambio-climatico/","1","","","Municipal","Antioquia","Medellín","Plan de Acción Climática Medellín 2020-2050"
"AMVA - Plan de Gestión","Área Metropolitana del Valle de Aburrá","Plan metropolitano","https://www.metropol.gov.co/area/Paginas/Planeacion-estrategica/Plan-de-gestion.aspx","1","","","Metropolitano","Antioquia","","Plan de Gestión, cambio climático, río, economía circular y resiliencia territorial"
"CORNARE - PGAR","CORNARE","Plan ambiental regional","https://www.cornare.gov.co/plan-de-gestion-ambiental-regional/","1","","","Regional","Antioquia","","Plan de Gestión Ambiental Regional"
"CORNARE - POMCA","CORNARE","Planes de cuenca","https://www.cornare.gov.co/planes-de-ordenacion-y-manejo-de-cuencas-hidrograficas-pomcas/","1","","","Regional/Municipal","Antioquia","","Planes de Ordenación y Manejo de Cuencas Hidrográficas"
"CORNARE - Referentes Ambientales Municipales","CORNARE","Planeación municipal","https://www.cornare.gov.co/referentes-ambientales/","1","","","Regional/Municipal","Antioquia","","Referentes ambientales para planes de desarrollo municipales"
"CORANTIOQUIA - PGAR","CORANTIOQUIA","Plan ambiental regional","https://www.corantioquia.gov.co/plan-de-gestion-ambiental-regional-pgar/","1","","","Regional","Antioquia","","Plan de Gestión Ambiental Regional y seguimiento"
"CVC - PGAR","Corporación Autónoma Regional del Valle del Cauca - CVC","Plan ambiental regional","https://www.cvc.gov.co/documentos/planes-y-programas/planes/planes-de-gestion-ambiental-regional-pgar-2015-2036","1","","","Regional","Valle del Cauca","","PGAR, seguimiento y documentos descargables"
"CAR - Cundinamarca","CAR - Cundinamarca","CAR","https://www.car.gov.co/","2","","","Regional/Local","Cundinamarca","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CARDER - Risaralda","CARDER - Risaralda","CAR","https://www.carder.gov.co/","2","","","Regional/Local","Risaralda","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CARDIQUE - Canal del Dique","CARDIQUE - Canal del Dique","CAR","https://cardique.gov.co/","2","","","Regional/Local","Bolívar","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CARSUCRE - Sucre","CARSUCRE - Sucre","CAR","https://carsucre.gov.co/","2","","","Regional/Local","Sucre","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CAS - Santander","CAS - Santander","CAR","https://cas.gov.co/","2","","","Regional/Local","Santander","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CDA - Norte y Oriente Amazónico","CDA - Norte y Oriente Amazónico","Desarrollo sostenible","https://cda.gov.co/","2","","","Regional/Local","Amazonas/Guainía/Vaupés","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CDMB - Defensa de la Meseta de Bucaramanga","CDMB - Defensa de la Meseta de Bucaramanga","CAR","https://www.cdmb.gov.co/","2","","","Regional/Local","Santander","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CODECHOCÓ - Chocó","CODECHOCÓ - Chocó","Desarrollo sostenible","https://codechoco.gov.co/","2","","","Regional/Local","Chocó","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORALINA - San Andrés","CORALINA - San Andrés","Desarrollo sostenible","https://www.coralina.gov.co/","2","","","Regional/Local","San Andrés","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORANTIOQUIA - Centro de Antioquia","CORANTIOQUIA - Centro de Antioquia","CAR","https://www.corantioquia.gov.co/","2","","","Regional/Local","Antioquia","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORMACARENA - Área de Manejo Especial La Macarena","CORMACARENA - Área de Manejo Especial La Macarena","Desarrollo sostenible","https://www.cormacarena.gov.co/","2","","","Regional/Local","Meta","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORNARE - Ríos Negro y Nare","CORNARE - Ríos Negro y Nare","CAR","https://www.cornare.gov.co/","2","","","Regional/Local","Antioquia","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPAMAG - Magdalena","CORPAMAG - Magdalena","CAR","https://www.corpamag.gov.co/","2","","","Regional/Local","Magdalena","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOAMAZONIA - Sur de la Amazonia","CORPOAMAZONIA - Sur de la Amazonia","Desarrollo sostenible","https://www.corpoamazonia.gov.co/","2","","","Regional/Local","Amazonas/Caquetá/Putumayo","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOBOYACÁ - Boyacá","CORPOBOYACÁ - Boyacá","CAR","https://www.corpoboyaca.gov.co/","2","","","Regional/Local","Boyacá","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOCALDAS - Caldas","CORPOCALDAS - Caldas","CAR","https://www.corpocaldas.gov.co/","2","","","Regional/Local","Caldas","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOCESAR - Cesar","CORPOCESAR - Cesar","CAR","https://www.corpocesar.gov.co/","2","","","Regional/Local","Cesar","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOCHIVOR - Chivor","CORPOCHIVOR - Chivor","CAR","https://www.corpochivor.gov.co/","2","","","Regional/Local","Boyacá","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOGUAJIRA - La Guajira","CORPOGUAJIRA - La Guajira","CAR","https://corpoguajira.gov.co/","2","","","Regional/Local","La Guajira","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOGUAVIO - Guavio","CORPOGUAVIO - Guavio","CAR","https://www.corpoguavio.gov.co/","2","","","Regional/Local","Cundinamarca","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPONARIÑO - Nariño","CORPONARIÑO - Nariño","CAR","https://corponarino.gov.co/","2","","","Regional/Local","Nariño","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPONOR - Norte de Santander","CORPONOR - Norte de Santander","CAR","https://www.corponor.gov.co/","2","","","Regional/Local","Norte de Santander","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPORINOQUIA - Orinoquia","CORPORINOQUIA - Orinoquia","CAR","https://www.corporinoquia.gov.co/","2","","","Regional/Local","Orinoquía","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOURABÁ - Urabá","CORPOURABÁ - Urabá","Desarrollo sostenible","https://corpouraba.gov.co/","2","","","Regional/Local","Antioquia","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORTOLIMA - Tolima","CORTOLIMA - Tolima","CAR","https://cortolima.gov.co/","2","","","Regional/Local","Tolima","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CVC - Valle del Cauca","CVC - Valle del Cauca","CAR","https://www.cvc.gov.co/","2","","","Regional/Local","Valle del Cauca","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CRC - Cauca","CRC - Cauca","CAR","https://www.crc.gov.co/","2","","","Regional/Local","Cauca","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CRQ - Quindío","CRQ - Quindío","CAR","https://www.crq.gov.co/","2","","","Regional/Local","Quindío","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CSB - Sur de Bolívar","CSB - Sur de Bolívar","CAR","https://www.carcsb.gov.co/","2","","","Regional/Local","Bolívar","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CVS - Valles del Sinú y San Jorge","CVS - Valles del Sinú y San Jorge","CAR","https://www.cvs.gov.co/","2","","","Regional/Local","Córdoba","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CAM - Alto Magdalena","CAM - Alto Magdalena","CAR","https://cam.gov.co/","2","","","Regional/Local","Huila","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CRA - Atlántico","CRA - Atlántico","CAR","https://www.crautonoma.gov.co/","2","","","Regional/Local","Atlántico","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORMAGDALENA - Río Grande de la Magdalena","CORMAGDALENA - Río Grande de la Magdalena","Corporación regional","https://www.cormagdalena.gov.co/","2","","","Regional/Local","Cuenca Magdalena","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"CORPOMOJANA - Mojana y San Jorge","CORPOMOJANA - Mojana y San Jorge","Desarrollo sostenible","https://corpomojana.gov.co/","2","","","Regional/Local","Sucre/Bolívar/Córdoba","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"Área Metropolitana del Valle de Aburrá","Área Metropolitana del Valle de Aburrá","Autoridad urbana","https://www.metropol.gov.co/","2","","","Regional/Local","Antioquia","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"Secretaría Distrital de Ambiente de Bogotá","Secretaría Distrital de Ambiente de Bogotá","Autoridad urbana","https://ambientebogota.gov.co/","2","","","Regional/Local","Bogotá D.C.","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"DAGMA - Cali","DAGMA - Cali","Autoridad urbana","https://www.cali.gov.co/dagma/","2","","","Regional/Local","Valle del Cauca","","Normativa, actos administrativos e instrumentos ambientales territoriales"
"ANDI","ANDI - Asociación Nacional de Empresarios de Colombia","Gremio / Noticias","https://www.andi.com.co/Home/Noticias","3","Gremio","Multisectorial","Nacional","","","Noticias empresariales con impacto ambiental, energético, circular y de sostenibilidad"
"FENALCO","FENALCO - Federación Nacional de Comerciantes","Gremio / Noticias","https://www.fenalco.com.co/blog/noticias-10","3","Gremio","Comercio","Nacional","","","Noticias empresariales sobre comercio, uso eficiente de recursos, economía circular, energía y sostenibilidad"
"FENALCO - Monitoreo Regulatorio","FENALCO - Federación Nacional de Comerciantes","Gremio / Monitoreo regulatorio","https://www.fenalco.com.co/blog/juridico-2","2","Gremio","Comercio","Nacional","","","Alertas y proyectos normativos de interés empresarial; se filtran los asuntos ambientales y de sostenibilidad"
"CAMACOL","CAMACOL - Cámara Colombiana de la Construcción","Gremio / Noticias","https://camacol.co/prensa/noticias","3","Gremio","Construcción","Nacional","","","Noticias del sector constructor con filtro ambiental, territorial y de sostenibilidad"
"CAMACOL - Sostenibilidad","CAMACOL - Cámara Colombiana de la Construcción","Gremio / Sostenibilidad","https://camacol.co/actualidad/publicaciones/revista-urbana/sostenibilidad","2","Gremio","Construcción","Nacional","","","Construcción sostenible, certificaciones, materiales, descarbonización y resiliencia"
"CECODES - Sostenibilidad empresarial","Consejo Empresarial Colombiano para el Desarrollo Sostenible - CECODES","Sostenibilidad empresarial","https://www.cecodes.org.co/","2","Centro empresarial de sostenibilidad","Multisectorial","Nacional","","","ESG/ASG, net zero, naturaleza positiva, economía circular, DDHH y empresa, transparencia y tendencias empresariales"
"CCCS - Noticias de actualidad","Consejo Colombiano de Construcción Sostenible - CCCS","Sostenibilidad / Noticias","https://www.cccs.org.co/noticias-actualidad/","2","Consejo de sostenibilidad","Construcción e inmobiliario","Nacional","","","Construcción sostenible, riesgo climático, doble materialidad, certificaciones, ciudades y biodiversidad"
"ANDESCO - Noticias","ANDESCO - Asociación Nacional de Empresas de Servicios Públicos y Comunicaciones","Gremio / Noticias","https://andesco.org.co/noticias/","2","Gremio","Servicios públicos","Nacional","","","Agua, saneamiento, residuos, energía, regulación, eficiencia y sostenibilidad de servicios públicos"
"ANDESCO - Comunicados","ANDESCO - Asociación Nacional de Empresas de Servicios Públicos y Comunicaciones","Gremio / Comunicados","https://congreso.andesco.org.co/category/comunicados/","3","Gremio","Servicios públicos","Nacional","","","Comunicados sectoriales de agua, aseo, energía, regulación y sostenibilidad"
"ACP - Hechos de Sostenibilidad","Asociación Colombiana del Petróleo y Gas - ACP","Gremio / Sostenibilidad","https://acp.com.co/portal/categoria/hechos-de-sostenibilidad/","2","Gremio","Hidrocarburos","Nacional","","","Hechos empresariales de sostenibilidad, agua, energía, movilidad, biodiversidad y gestión social del sector hidrocarburos"
"ACP - Sala de Prensa","Asociación Colombiana del Petróleo y Gas - ACP","Gremio / Noticias","https://acp.com.co/portal/categoria/sala-de-prensa/","3","Gremio","Hidrocarburos","Nacional","","","Política pública, seguridad energética, regulación y asuntos ambientales del sector hidrocarburos"
"Naturgas - Comunicados","Asociación Colombiana de Gas Natural - Naturgas","Gremio / Noticias","https://naturgas.com.co/category/comunicados/","3","Gremio","Gas natural y energía","Nacional","","","Seguridad energética, gas natural, hidrógeno, gases renovables, regulación y sostenibilidad"
"SER Colombia - Estudios y documentos","Asociación de Energías Renovables Colombia - SER Colombia","Gremio / Estudios","https://ser-colombia.org/estudios-y-documentos/","2","Gremio","Energías renovables","Nacional","","","Energías renovables, transición energética, estudios ambientales, regulación y proyectos FNCER"
"ACM - Actualidad","Asociación Colombiana de Minería - ACM","Gremio / Noticias","https://acmineria.com.co/actualidad/","3","Gremio","Minería","Nacional","","","Minería responsable, regulación, energía, biodiversidad, territorio y sostenibilidad del sector minero"
"Acoplásticos - Publicaciones","Acoplásticos","Gremio / Publicaciones","https://acoplasticos.org/publicaciones/","2","Gremio","Plásticos, reciclaje, pinturas y caucho","Nacional","","","Economía circular, plásticos, reciclaje, ecodiseño, regulación e innovación sostenible"
"Fedepalma - Sostenibilidad Ambiental","Fedepalma","Gremio / Sostenibilidad","https://fedepalma.org/sostenibilidad-ambiental/","3","Gremio","Agroindustria palmera","Nacional","","","Gestión ambiental y sostenibilidad del sector palmero, biodiversidad, agua, clima y producción sostenible"
"Asocaña - Publicaciones","Asocaña - Sector Agroindustrial de la Caña","Gremio / Publicaciones","https://www.asocana.org/modules/documentos/default.aspx","3","Gremio","Agroindustria de la caña","Nacional/Regional","Valle del Cauca/Cauca","","Informes de sostenibilidad, ambiente, energía, agua y desempeño del sector agroindustrial de la caña"
"ASOCARS","ASOCARS - Asociación de Corporaciones Autónomas Regionales","Gremial/sectorial","https://www.asocars.org.co/","3","Asociación de autoridades ambientales","Gestión ambiental pública","Nacional/Regional","","","Noticias y análisis del sistema de CAR, política ambiental y gestión regional"
"Sustenomics","Sustenomics","Portal especializado / Sostenibilidad","https://sustenomics.com/","4","Portal especializado","Multisectorial","Colombia/Latinoamérica","","","Sostenibilidad empresarial, economía circular, ESG/ASG, clima, innovación y análisis corporativo"
"Comunicación Sostenible","Comunicación Sostenible","Portal especializado / Sostenibilidad","https://comunicacionsostenible.co/","4","Portal especializado","Multisectorial","Colombia/Latinoamérica","","","Noticias, casos empresariales, economía circular, cambio climático y sostenibilidad"
"El Espectador - Ambiente","El Espectador - Redacción Ambiente","Medio / Ambiente","https://www.elespectador.com/ambiente/","4","Medio especializado","Ambiental general","Colombia","","","Noticias ambientales de Colombia: agua, biodiversidad, clima, política ambiental, bosques, minería y territorio"
"Mongabay Latam - Colombia","Mongabay Latam","Portal ambiental","https://es.mongabay.com/list/colombia/","4","Portal ambiental","Ambiental general","Colombia","","","Periodismo ambiental sobre biodiversidad, bosques, deforestación, minería, clima, comunidades y conservación"
